,Country_Code,Country_Name,Num_Athletes
0,AND,Andorra,1
1,ALB,Albania,1
2,ANG,Angola,2
3,ARG,Argentina,77
4,AUS,Australia,316
5,AUT,Austria,54
6,AZE,Azerbaijan,1
7,BAH,Bahamas,2
8,BAN,Bangladesh,1
9,BAR,Barbados,1
10,BEL,Belgium,50
11,BER,Bermuda,7
12,BOL,Bolivia,3
13,BRA,Brazil,672
14,BUL,Bulgaria,6
15,CAM,Cambodia,1
16,CMR,Cameroon,1
17,CAN,Canada,1786
18,CAY,Cayman Islands,5
19,CHI,Chile,114
20,CHN,China,212
21,TWN,Chinese Taipei,150
22,COL,Colombia,170
23,CRC,Costa Rica,91
24,CRO,Croatia,8
25,CYP,Cyprus,6
26,CZE,Czech Republic,18
27,DEN,Denmark,85
28,DOM,Dominican Republic,19
29,ECU,Ecuador,37
30,EGY,Egypt,2
31,ESA,El Salvador,19
32,ERI,Eritrea,3
33,EST,Estonia,7
34,ETH,Ethiopia,11
35,FIN,Finland,26
36,FRA,France,221
37,GEO,Georgia,2
38,GER,Germany,276
39,GHA,Ghana,1
40,GRE,Greece,20
41,GUA,Guatemala,46
42,HAI,Haiti,1
43,HON,Honduras,10
44,HKG,Hong Kong,61
45,HUN,Hungary,14
46,ISL,Iceland,6
47,IND,India,105
48,INA,Indonesia,52
49,IRI,Iran,1
50,IRL,Ireland,256
51,ISR,Israel,15
52,ITA,Italy,247
53,JAM,Jamaica,2
54,JPN,Japan,216
55,JOR,Jordan,1
56,KAZ,Kazakstan,10
57,KEN,Kenya,23
58,KGZ,Kyrgyzstan,1
59,LAT,Latvia,3
60,LIB,Lebanon,2
61,LTU,Lithuania,12
62,LUX,Luxembourg,2
63,MAC,Macau,2
64,MKD,Macedonia,1
65,MAS,Malaysia,16
66,MDV,Maldives,1
67,MLT,Malta,2
68,MEX,Mexico,713
69,MDA,Moldova,1
70,MGL,Mongolia,2
71,MNE,Montenegro,1
72,MAR,Morocco,5
73,MYA,Myanmar,1
74,NEP,Nepal,3
75,NED,Netherlands,143
76,NZL,New Zealand,47
77,NCA,Nicaragua,5
78,NGR,Nigeria,6
79,NOR,Norway,60
80,PAK,Pakistan,3
81,PAN,Panama,9
82,PAR,Paraguay,15
83,PER,Peru,63
84,PHI,Philippines,36
85,POL,Poland,83
86,POR,Portugal,44
87,ROU,Romania,10
88,RWA,Rwanda,1
89,KSA,Saudi Arabia,3
90,SRB,Serbia,14
91,SIN,Singapore,41
92,SVK,Slovakia,10
93,SLO,Slovenia,10
94,RSA,South Africa,48
95,KOR,South Korea,51
96,ESP,Spain,240
97,SRI,Sri Lanka,2
98,SWE,Sweden,107
99,SUI,Switzerland,117
100,TAN,Tanzania,2
101,THA,Thailand,34
102,TRI,Trinidad and Tobago,2
103,TUN,Tunisia,1
104,TUR,Turkey,17
105,UKR,Ukraine,35
106,GBR,United Kingdom,901
107,USA,United States,21540
108,URU,Uruguay,4
109,UZB,Uzbekistan,1
110,VEN,Venezuela,63
111,VIE,Vietnam,14
112,ZIM,Zimbabwe,2
